role,company_name,hiring_badge,location,duration,stipend_perMonth
Management trainee,The Affordable Organic Store,Actively hiring,"Hyderabad, Kompally",6 Months," 12,000 "
Subject Matter Expert (SME),Dimentics Info Tech Private Limited,Actively hiring,Noida,3 Months," 12,000-15,000 "
Inside Sales,KRIYO,Actively hiring,Hyderabad,2 Months," 10,000  +  Incentives"
Client Relationship Manager,G&T-Star Production And Entertainment Private Limited,Actively hiring,Noida,3 Months," 7,000-12,000 "
Graphics Designer,Budding Mariners,Actively hiring,Work from home,4 Months," 1,500 "
Social Media Marketing,Akrati Jewels Incorporation,Actively hiring,Jaipur,5 Months," 10,000-15,000 "
Trainee - Talent Acquisition,BookMyShow,Actively hiring,Mumbai,6 Months," 7,500 "
Operations,Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),2 Months," 5,000-10,000 "
Social Media Content Creator For Restaurants,Hotkhana.com,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 15,000 "
Social Media Marketing,Certera Solutions LLP,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida",6 Months," 10,000 "
Psychology,Starlit Ability Enhancement Services Private Limited,Actively hiring,"Pune, Thane, Navi Mumbai, Mumbai",6 Months," 6,000-10,000 "
Video Editing/Making,ONE XL INFO LLP,Actively hiring,Pune,3 Months," 5,000 "
Founder’s Office,Soul Jams,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 10,000 "
Subject Matter Expert (Physical Chemistry),Kunduz Technologies,Actively hiring,Work from home,3 Months," 5,000-6,000 "
Interior Design,Sipani Properties (P) Limited,Actively hiring,Bangalore                                                            (Hybrid),2 Months," 10,000-15,000 "
Finance - Valuation,Marcken Consulting LLP,Actively hiring,Ahmedabad,6 Months," 8,000 "
Equity Analyst,Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),2 Months," 5,000-10,000 "
CA Articleship,V V J & Associates,Actively hiring,Mumbai,6 Months," 8,000 "
Product Design,"Stealth Mode (Seattle, United States)",Actively hiring,Work from home,2 Months," 1,000 "
Business Development (Sales),Kshitiksha Foundation,Actively hiring,Greater Noida,2 Months," 5,000  +  Incentives"
Graphic Design,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Bangalore,3 Months," 5,000 "
Content Writing,Collectcent Digital Media Private Limited,Actively hiring,Gurgaon,3 Months," 10,000 "
Field Marketing,SmartCookie,Actively hiring,Pune,6 Months," 2,000 "
Business Development (Sales),Madrocket Technologies & Media,Actively hiring,"Bhilai, Bilaspur, Durg, Hyderabad, Raipur, Nagpur",4 Months," 10,000 "
Finance & Accounting,Guruji Astro,Actively hiring,Jaipur,6 Months," 8,000-10,000 "
Crypto Trading Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 12,000-20,000 "
Graphic Design,Adstacks Media,Actively hiring,Gurgaon,3 Months," 12,000 "
Business Development (Sales),Snapbot,Actively hiring,"Bangalore, Hyderabad, Jaipur",3 Months," 10,000 "
Community Management,KultureKatta,Actively hiring,Pune,3 Months," 3,000 "
3D Artist Intern,BOP Consultancy And Services,Actively hiring,Pune,4 Months," 5,000-8,000 "
Social Media Marketing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Graphic Design,PlanCover,Actively hiring,Gurgaon,6 Months," 10,000 "
Content Writing,ONE XL INFO LLP,Actively hiring,Pune,3 Months," 5,000 "
Content Writing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Business Development (Sales),UrbanNaps,Actively hiring,Work from home,3 Months," 5,000-7,000 "
Operations,My Digital Shelf,Actively hiring,"Indore, Mumbai",6 Months," 15,000 "
Share Market Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 12,000-20,000 "
Content Creator,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Bangalore,3 Months," 5,000 "
Social Media Marketing,Reflex Realty LLP,Actively hiring,Mumbai,3 Months," 6,000 "
Luxury Sales Consultant,Nivara Diamonds Private Limited,Actively hiring,Hyderabad,3 Months," 20,000 "
Content Creator,Rupicard,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000 "
Content Writing,Arcatron Mobility Private Limited,Actively hiring,Pune,6 Months," 17,000 "
Short Film Making Intern,SmartCookie,Actively hiring,Pune,6 Months," 2,000 "
Mechanical Engineering,Planys Technologies Private Limited,Actively hiring,Chennai,6 Months," 12,500 "
Teaching,K12 Techno Service Private Limited (Orchids International School),Actively hiring,Hyderabad,6 Months," 12,000-18,000 "
Video Editing/Making,Bright Rise,Actively hiring,"Delhi, Gurgaon",3 Months," 10,000-14,000 "
Data Entry,Medius Technologies Private Limited,Actively hiring,Mumbai,6 Months," 6,500 "
Mercy Mission Fellowship Program,Mercy Mission,Actively hiring,Bangalore,9 months," 15,000 "
Graphic Design,Fighterhero,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 15,000 "
Operations,Avaesa,Actively hiring,Chennai,3 Months," 5,000-10,000 "
Project Management,Avaesa,Actively hiring,Chennai                                                            (Hybrid),6 Months," 10,000-12,000 "
Finance & Accounting,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months," 5,000 "
Auditing & Accounting,Shashwat Singhal,Actively hiring,Prayagraj,6 Months," 5,000-10,000 "
Content Development (Finance Field),Shashwat Singhal,Actively hiring,"Allahabad, Prayagraj, Prayagraj Sub-District",2 Months," 6,000 "
CA Articleship,Digital Factorys,Actively hiring,Pimpri-Chinchwad,36 Months," 5,000 "
Technical Support,Avaesa,Actively hiring,Chennai,2 Months," 5,000-7,000 "
Video Editing/Making,Mending Mind,Actively hiring,Mumbai                                                            (Hybrid),4 Months," 5,000-10,000 "
Human Resources (HR),Break The Code,Actively hiring,Mumbai,3 Months," 7,000 "
Community Manager,SmartCookie,Actively hiring,Pune,6 Months," 2,000 "
Business Development (Sales),Kumar  Saurav,Actively hiring,"Gurgaon, Noida",4 Months," 4,000-5,000 "
Show Director,SmartCookie,Actively hiring,Pune,6 Months," 2,000 "
Graphic Design,React Labs Private Limited,Actively hiring,Bangalore,3 Months," 16,000-18,000 "
Capital Project Finance And Planning,Butterfly's Energy Solutions Private Limited,Actively hiring,Pune,1 Month," 10,000 "
Stock Market Technical Analyst,Money Making Trading Courses,Actively hiring,"Thane, Navi Mumbai, Mumbai, Vashi, Belapur, Turbhe, Panvel",3 Months," 8,000-10,000 "
Fundraising/Crowdfunding,NayePankh Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
Mutual Fund Operations,Money Making Trading Courses,Actively hiring,"Thane, Navi Mumbai, Dombivli, Kalyan, Mumbai, Vashi, Turbhe, Panvel",3 Months," 8,000-10,000 "
Volunteering,Basti Ki Pathshala Foundation,Actively hiring,Work from home,4 Weeks,20% of Total Funds Raised
Virtual Volunteering,Basti Ki Pathshala Foundation,Actively hiring,Work from home,1 Month,20% of Total Funds Raised
1 Week Fundraising,Basti Ki Pathshala Foundation,Actively hiring,Work from home,1 Week,20% of Total Funds Raised
Executive Assistant To The CEO,Techdome Solutions Private Limited,Actively hiring,Hyderabad,6 Months," 5,000-8,000 "
1 Week Fundraising,NayePankh Foundation,Actively hiring,Work from home,1 Week,20% of Total Funds Raised
1 Week Virtual Charity Drive (Fundraising),NayePankh Foundation,Actively hiring,Work from home,1 Week,20% of Total Funds Raised
Social Work,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Sales Head,Budding Mariners,Actively hiring,Work from home,6 Months," 3,500 "
Field Sales,Z Revolution Tech Private Limited,Actively hiring,"Ambala, Amritsar, Chandigarh, Karnal, Pune, Jaipur, Ludhiana",6 Months," 12,000 "
Accounting & Taxation,Marcken Consulting LLP,Actively hiring,Ahmedabad,6 Months," 8,000 "
Content Writing,Rizzle,Actively hiring,Hyderabad,3 Months," 15,000 "
Marketing,Firstricoz Private Limited,Actively hiring,Work from home,4 Months," 1,000  +  Incentives"
Teaching,Coding Ninjas,Actively hiring,Gurgaon                                                            (Hybrid),3 Months," 15,000-20,000 "
Hotel Management (Operations),Punjabi Burgers,Actively hiring,Hyderabad,3 Months," 15,000-21,000 "
Fashion Stylist,Star Prime Videos,Actively hiring,"Chennai, Hyderabad, Noida",2 Months," 5,000-8,000 "
Administration,Avaesa,Actively hiring,Chennai,2 Months," 4,000-6,000 "
English Speaker,Codecraft IT Solutions,Actively hiring,Work from home,6 Months," 1,000 "
Mechanical Engineering,Trashcon Labs Private Limited,Actively hiring,Bangalore,3 Months," 15,000 "
Flutter Development,APPSARA,Actively hiring,Work from home,6 Months," 2,000  +  Incentives"
Influencer Marketing,NAVERA,Actively hiring,Bangalore,3 Months," 15,000 "
Pentab Video Creator,Polestar Educations,Actively hiring,Work from home,3 Months," 9,000  +  Incentives"
Transcription- Assamese,MaVY EduSolution,Actively hiring,Work from home,2 Months," 1,000  +  Incentives"
Founders Office,Amit Pasricha,Actively hiring,Delhi,6 Months," 12,000 "
Supply Chain Management (SCM),Firstricoz Private Limited,Actively hiring,Work from home,4 Months," 1,000  +  Incentives"
Telecall Data Entry,Stirring Minds,Actively hiring,Delhi,2 Months," 5,000  +  Incentives"
Corporate Sales,Synq.Work,Actively hiring,Gurgaon,6 Months," 10,000-15,000 "
Transcription- Bodo,MaVY EduSolution,Actively hiring,Work from home,2 Months," 1,000  +  Incentives"
Data Entry Operator,WhizJuniors,Actively hiring,Mumbai,6 Months," 6,000 "
Business Development (Sales),Medius Technologies Private Limited,Actively hiring,Work from home,6 Months," 8,000 "
Influencer Marketing,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Social Media Marketing,Ostello India Private Limited,Actively hiring,Work from home,4 Months," 3,000-5,000 "
Research (Economics),International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,3 Months,Unpaid
Business Development (Sales),The Agency Source,Actively hiring,Delhi,6 Months," 5,000 "
Economic And Political Survey,International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,2 Months,Unpaid
Research In Political Economy,International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,3 Months,Unpaid
Embedded Systems,Uniqgrid,Actively hiring,Gurgaon,6 Months," 5,000-10,000 "
Sales,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Data Entry,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 2,500-4,000 "
Business Development (Sales),Antino Labs Private Limited,Actively hiring,Gurgaon,6 Months," 15,000 "
Hollywood Film Development And Operations,Continuum Media,Actively hiring,Mumbai,6 Months," 5,000 "
Campus Ambassador,Supreme Forex (Supreme Securities Limited),Actively hiring,Work from home,2 Months,Performance Based
Campus Ambassador,Pawzz,Actively hiring,"Ahmedabad, Bhubaneswar, Chandigarh, Chennai, Delhi, Gurgaon, Kolkata, Manipal, Pune, Bangalore, Hyderabad, Mumbai, Kochi, Jaipur, Noida",1 Month,Performance Based
Business Strategy,Zenia Hospitality,Actively hiring,Mumbai,4 Months," 10,000 "
Customer Acquisition,DevTown,Actively hiring,Work from home,1 Month," 3,000 "
Transcription- Manipuri,MaVY EduSolution,Actively hiring,Work from home,2 Months," 1,000  +  Incentives"
Process Coordinator,Ramyoz,Actively hiring,Palwal,3 Months," 15,000 "
Telecalling,Aaptatt,Actively hiring,Gurgaon,2 Months," 5,000 "
Marketing,InventModel Technology Solution,Actively hiring,Greater Noida,4 Months," 5,000 "
Corporate Sales,AIR HR Solutions,Actively hiring,Delhi,6 Months," 15,000 "
Inside Sales,Prime Infoserv LLP,Actively hiring,Work from home,3 Months," 5,000 "
Business Development (Sales),FSM Buddy - Furtados School Of Music,Actively hiring,Mumbai,6 Months," 10,000 "
Client Servicing,Analystt.ai,Actively hiring,Work from home,3 Months," 5,000 "
Project Management,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,1 Month,Unpaid
Business Development (Sales),The Prism Paradox,Actively hiring,Mumbai                                                            (Hybrid),4 Months," 2,000  +  Incentives"
Digital Marketing,Career-Domain,Actively hiring,Nagpur,3 Months," 5,000-10,000 "
Hospitality,Zenia Hospitality,Actively hiring,Mumbai,4 Months," 10,000 "
Research,First Contact,Actively hiring,Work from home,3 Months,Unpaid
Video Editing/Making,Enpointe,Actively hiring,Mumbai,6 Months," 8,000 "
B2B Marketing Executive,WhizJuniors,Actively hiring,Mumbai,6 Months," 18,000 "
Inside Sales,NirogStreet,Actively hiring,Delhi,4 Months," 10,000-15,000 "
Inside Sales,ISchoolConnect Technologies India,Actively hiring,Mumbai,6 Months," 20,000 "
Search Engine Optimization (SEO),Superflow,Actively hiring,Work from home,4 Months," 5,000 "
Business Consultant,Maxleben Advisory,Actively hiring,Mohali,6 Months," 8,000 "
Business Development (Sales),Socio Marker,Actively hiring,"Ludhiana, Mumbai",6 Months," 10,000  +  Incentives"
Business Development,Stirring Minds,Actively hiring,Delhi,6 Months," 12,000 "
Business Development,Enpointe,Actively hiring,Mumbai,6 Months," 8,000 "
Digital Marketing,ADM EDUCATION & WELFARE SOCIETY,Actively hiring,Work from home,3 Months,Unpaid
Sales Management Executive,The Prism Paradox,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 10,000  +  Incentives"
Screenplay Writer,Bollygrad Studioz,Actively hiring,Mumbai,6 Months," 7,000-10,000 "
Digital Marketing,QuadB Tech,Actively hiring,Ludhiana,6 Months," 20,000-25,000 "
Malayalam - Language Expert,Guidofie,Actively hiring,Work from home,2 Months," 5,000  +  Incentives"
Client Servicing,Enseur,Actively hiring,Delhi,3 Months," 3,000-8,000 /week"
Fundraising,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,20% of Revenue Generated
Client Relationship Executive,G&T-Star Production And Entertainment Private Limited,Actively hiring,Noida,3 Months," 6,000-8,000 "
Research In Psychology,International Institute Of SDGs & Public Policy Research,Actively hiring,Work from home,3 Months,Unpaid
Video Editing/Making,The Future University,Actively hiring,Chandigarh,6 Months," 15,000 "
Marketing,Karmix,Actively hiring,Noida,6 Months," 5,000 "
Dietetics/Nutrition,Yazas Processed Foods Private Limited,Actively hiring,Hyderabad                                                            (Hybrid),3 Months," 7,500-12,000 "
Founders Office,Trashcon Labs Private Limited,Actively hiring,Bangalore,3 Months," 15,000 "
Client Communications Executive,Punt Partners,Actively hiring,Mumbai,3 Months," 15,000 "
Photography,G&T-Star Production And Entertainment Private Limited,Actively hiring,Noida,3 Months," 5,000-10,000 "
Telecalling,LTA School Of Beauty Private Limited,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 8,000-12,000 "
Accounts,Dharmshri Electricals Private Limited,Actively hiring,Chennai,6 Months," 7,000 "
